#ZDDP al 2% sobre aceite mineral base.
#doi https://doi.org/10.1007/s11249-018-1070-6
899.5028997514, 0.9837286012
899.8342999171, 0.9837297297
900.1657000828, 0.9837308583
900.4971002486, 0.9837319868
900.8285004143, 0.9837331154
901.15990058, 0.9837342438
901.4913007457, 0.9837353725
901.8227009114, 0.983736501
902.1541010771, 0.9837376296
902.4855012428, 0.9838901094
902.8169014085, 0.983891238
903.1483015742, 0.9838923666
903.4797017398, 0.9838934952
903.8111019056, 0.9838946237
904.1425020713, 0.9838957523
904.473902237, 0.9838968808
904.8053024027, 0.9838980094
905.1367025684, 0.9838991379
905.4681027341, 0.9839002665
905.7995028998, 0.983901395
906.1309030655, 0.9839025235
906.4623032312, 0.9837523008
906.7937033969, 0.9837534293
907.1251035626, 0.9837545579
907.4565037283, 0.9836043351
907.787903894, 0.9836054636
908.1193040597, 0.9834552408
908.4507042254, 0.9834563694
908.782104391, 0.9834574979
909.1135045568, 0.9834586265
909.4449047225, 0.983459755
909.7763048881, 0.9834608835
910.1077050539, 0.9834620121
910.4391052196, 0.9834631407
910.7705053853, 0.9834642692
911.101905551, 0.9834653977
911.4333057167, 0.9834665263
911.7647058824, 0.9834676549
912.0961060481, 0.9834687834
912.4275062138, 0.9833185606
912.7589063795, 0.9833196892
913.0903065452, 0.9833208178
913.4217067109, 0.983170595
913.7531068766, 0.9831717235
914.0845070423, 0.9831728521
914.415907208, 0.9831739806
914.7473073737, 0.9831751091
915.0787075394, 0.9831762377
915.4101077051, 0.9831773663
915.7415078708, 0.9831784948
916.0729080364, 0.9831796233
916.4043082022, 0.9831807519
916.7357083679, 0.9831818805
917.0671085336, 0.983183009
917.3985086993, 0.9831841376
917.729908865, 0.9830339148
918.0613090307, 0.9830350433
918.3927091964, 0.9830361719
918.7241093621, 0.9830373004
919.0555095278, 0.983038429
919.3869096935, 0.9828882062
919.7183098592, 0.9828893346
920.0497100249, 0.9828904633
920.3811101906, 0.9828915918
920.7125103563, 0.9828927204
921.043910522, 0.9828938488
921.3753106876, 0.9828949775
921.7067108534, 0.982896106
922.0381110191, 0.9828972346
922.3695111848, 0.9830497145
922.7009113505, 0.9830508431
923.0323115162, 0.9830519716
923.3637116819, 0.9830531002
923.6951118476, 0.9830542287
924.0265120133, 0.9830553573
924.357912179, 0.9830564858
924.6893123447, 0.9830576143
925.0207125104, 0.9830587429
925.3521126761, 0.9830598715
925.6835128418, 0.983061
926.0149130075, 0.9829107771
926.3463131732, 0.9829119058
926.6777133388, 0.9829130343
927.0091135046, 0.9827628115
927.3405136703, 0.9827639401
927.6719138359, 0.9826137173
928.0033140017, 0.9824634945
928.3347141674, 0.9823132717
928.6661143331, 0.9823144002
928.9975144988, 0.9821641774
929.3289146645, 0.982165306
929.3289146645, 0.9820139546
929.6603148302, 0.9820150831
929.9917149959, 0.9820162117
930.3231151616, 0.9818659889
930.6545153273, 0.9818671175
930.985915493, 0.981868246
931.3173156587, 0.9818693746
931.6487158244, 0.9818705031
931.98011599, 0.9818716317
932.3115161558, 0.9818727602
932.6429163215, 0.9818738888
932.9743164871, 0.9818750174
933.3057166529, 0.9818761459
933.6371168186, 0.9818772745
933.9685169842, 0.981878403
934.29991715, 0.9818795316
934.6313173157, 0.98188066
934.9627174814, 0.98203314
935.2941176471, 0.9820342686
935.6255178128, 0.9820353971
935.9569179785, 0.9821878769
936.2883181442, 0.9821890056
936.6197183099, 0.9821901341
936.9511184756, 0.9821912627
937.2825186413, 0.9821923912
937.613918807, 0.9821935198
